epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,699.803,1.31766,1.71459,1.48109,0.631,0.66268,0.66986,0.3685,1.46154,1.52416,1.62495,0.00228225,0.00076075,0.00228225,0.00076075,0.00228225,0.00076075,0.00228225,0.00076075
31,723.027,1.33892,1.72038,1.48621,0.5835,0.59836,0.61195,0.32206,1.55135,1.69594,1.67786,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
32,746.267,1.31736,1.68915,1.47075,0.59671,0.6745,0.68974,0.3802,1.43961,1.50188,1.61979,0.00223275,0.00074425,0.00223275,0.00074425,0.00223275,0.00074425,0.00223275,0.00074425
33,769.522,1.32654,1.69507,1.47426,0.65091,0.64563,0.69007,0.38037,1.43876,1.48702,1.60012,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736
34,792.878,1.31866,1.69151,1.47122,0.62395,0.67517,0.70485,0.38319,1.4529,1.48628,1.61856,0.00218325,0.00072775,0.00218325,0.00072775,0.00218325,0.00072775,0.00218325,0.00072775
35,816.347,1.31851,1.66609,1.46095,0.6821,0.64953,0.69618,0.38911,1.43529,1.43485,1.60071,0.0021585,0.0007195,0.0021585,0.0007195,0.0021585,0.0007195,0.0021585,0.0007195
36,839.8,1.31444,1.6555,1.47231,0.73731,0.62182,0.70277,0.38582,1.42935,1.4606,1.6119,0.00213375,0.00071125,0.00213375,0.00071125,0.00213375,0.00071125,0.00213375,0.00071125
37,863.584,1.28842,1.65936,1.46983,0.66685,0.67177,0.71404,0.38292,1.45978,1.45499,1.63026,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
38,887.176,1.31529,1.61855,1.46553,0.6651,0.68112,0.70793,0.3834,1.44932,1.46252,1.63273,0.00208425,0.00069475,0.00208425,0.00069475,0.00208425,0.00069475,0.00208425,0.00069475
39,910.498,1.31641,1.61733,1.46432,0.66535,0.67974,0.70262,0.38259,1.46401,1.45115,1.64111,0.0020595,0.0006865,0.0020595,0.0006865,0.0020595,0.0006865,0.0020595,0.0006865
40,933.961,1.28827,1.61687,1.4603,0.74817,0.62571,0.71697,0.39166,1.43511,1.43186,1.61563,0.00203475,0.00067825,0.00203475,0.00067825,0.00203475,0.00067825,0.00203475,0.00067825
41,957.193,1.31911,1.62228,1.46037,0.64193,0.6688,0.6916,0.38099,1.47366,1.47482,1.64588,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067
42,980.331,1.28192,1.58272,1.45178,0.62102,0.70145,0.72019,0.3922,1.46908,1.41299,1.59918,0.00198525,0.00066175,0.00198525,0.00066175,0.00198525,0.00066175,0.00198525,0.00066175
43,1003.45,1.28945,1.603,1.44723,0.65096,0.67837,0.71098,0.38653,1.45702,1.40873,1.62729,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
44,1026.69,1.28184,1.61116,1.44718,0.70995,0.64794,0.70891,0.39022,1.44543,1.41999,1.61239,0.00193575,0.00064525,0.00193575,0.00064525,0.00193575,0.00064525,0.00193575,0.00064525
45,1049.86,1.30162,1.61223,1.45882,0.6366,0.69567,0.72094,0.39861,1.44208,1.42181,1.59414,0.001911,0.000637,0.001911,0.000637,0.001911,0.000637,0.001911,0.000637
46,1072.92,1.2999,1.60772,1.4532,0.64682,0.67125,0.70522,0.36459,1.50018,1.48255,1.64398,0.00188625,0.00062875,0.00188625,0.00062875,0.00188625,0.00062875,0.00188625,0.00062875
47,1096.43,1.28426,1.61117,1.45508,0.66898,0.66466,0.70718,0.39146,1.45145,1.41342,1.58974,0.0018615,0.0006205,0.0018615,0.0006205,0.0018615,0.0006205,0.0018615,0.0006205
48,1119.85,1.27506,1.55365,1.45286,0.67828,0.68252,0.72003,0.40153,1.43542,1.41444,1.58539,0.00183675,0.00061225,0.00183675,0.00061225,0.00183675,0.00061225,0.00183675,0.00061225
49,1143.15,1.28006,1.56611,1.44431,0.64562,0.70089,0.72259,0.39981,1.42902,1.39562,1.57951,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
50,1166.43,1.28382,1.55763,1.44483,0.68615,0.68125,0.71176,0.40642,1.41756,1.38299,1.57596,0.00178725,0.00059575,0.00178725,0.00059575,0.00178725,0.00059575,0.00178725,0.00059575
51,1189.68,1.27921,1.54761,1.44927,0.6354,0.68727,0.70407,0.38577,1.46011,1.44163,1.60658,0.0017625,0.0005875,0.0017625,0.0005875,0.0017625,0.0005875,0.0017625,0.0005875
52,1212.82,1.26163,1.52783,1.4267,0.65169,0.66266,0.70785,0.38918,1.46349,1.40442,1.60261,0.00173775,0.00057925,0.00173775,0.00057925,0.00173775,0.00057925,0.00173775,0.00057925
53,1235.62,1.25191,1.51448,1.41792,0.65819,0.69556,0.71536,0.40056,1.41725,1.38166,1.578,0.001713,0.000571,0.001713,0.000571,0.001713,0.000571,0.001713,0.000571
54,1258.34,1.28032,1.52724,1.45109,0.65632,0.72013,0.72666,0.41001,1.44204,1.37046,1.58104,0.00168825,0.00056275,0.00168825,0.00056275,0.00168825,0.00056275,0.00168825,0.00056275
55,1280.8,1.25132,1.51292,1.43108,0.69673,0.67428,0.71529,0.4027,1.43241,1.37607,1.59474,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
56,1303.5,1.25552,1.51643,1.42683,0.64964,0.70881,0.72428,0.40589,1.42624,1.3695,1.58537,0.00163875,0.00054625,0.00163875,0.00054625,0.00163875,0.00054625,0.00163875,0.00054625
57,1328.15,1.25607,1.47972,1.41922,0.61965,0.72686,0.72018,0.39763,1.43639,1.37148,1.60024,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538
58,1351.09,1.25768,1.52725,1.42794,0.70115,0.66034,0.7179,0.40447,1.43882,1.37069,1.59366,0.00158925,0.00052975,0.00158925,0.00052975,0.00158925,0.00052975,0.00158925,0.00052975
59,1373.64,1.25239,1.51978,1.4312,0.66342,0.7133,0.72627,0.41563,1.41978,1.37158,1.566,0.0015645,0.0005215,0.0015645,0.0005215,0.0015645,0.0005215,0.0015645,0.0005215
60,1396.28,1.25776,1.50934,1.43005,0.63802,0.7172,0.72801,0.41231,1.4338,1.34028,1.59034,0.00153975,0.00051325,0.00153975,0.00051325,0.00153975,0.00051325,0.00153975,0.00051325
61,1418.89,1.27185,1.50433,1.43962,0.66552,0.67121,0.7267,0.40777,1.44243,1.37261,1.59174,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
62,1442.98,1.2511,1.49838,1.41115,0.62725,0.71899,0.71884,0.39543,1.46503,1.38519,1.59891,0.00149025,0.00049675,0.00149025,0.00049675,0.00149025,0.00049675,0.00149025,0.00049675
63,1465.33,1.2408,1.48661,1.41664,0.61955,0.71744,0.71722,0.39576,1.47902,1.36435,1.59965,0.0014655,0.0004885,0.0014655,0.0004885,0.0014655,0.0004885,0.0014655,0.0004885
64,1487.79,1.2298,1.45339,1.40688,0.63819,0.71457,0.72636,0.40711,1.44021,1.35892,1.58684,0.00144075,0.00048025,0.00144075,0.00048025,0.00144075,0.00048025,0.00144075,0.00048025
65,1509.99,1.25752,1.47984,1.42336,0.69199,0.68588,0.72327,0.41039,1.43163,1.34594,1.59083,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472
66,1532.28,1.25394,1.48718,1.42578,0.71675,0.65953,0.72561,0.4127,1.41097,1.36124,1.58156,0.00139125,0.00046375,0.00139125,0.00046375,0.00139125,0.00046375,0.00139125,0.00046375
67,1554.48,1.24391,1.45434,1.41088,0.65716,0.69295,0.72819,0.40797,1.43163,1.3489,1.57396,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
68,1580.75,1.24244,1.43443,1.40615,0.68022,0.69735,0.72509,0.40838,1.42343,1.35225,1.58419,0.00134175,0.00044725,0.00134175,0.00044725,0.00134175,0.00044725,0.00134175,0.00044725
69,1603.23,1.23625,1.4453,1.40958,0.62531,0.72993,0.71069,0.3991,1.44235,1.35447,1.5879,0.001317,0.000439,0.001317,0.000439,0.001317,0.000439,0.001317,0.000439
70,1625.72,1.23361,1.44886,1.40301,0.65131,0.71155,0.71219,0.40412,1.41844,1.34777,1.5735,0.00129225,0.00043075,0.00129225,0.00043075,0.00129225,0.00043075,0.00129225,0.00043075
71,1648.6,1.23209,1.44683,1.40199,0.68583,0.70562,0.73391,0.41254,1.4193,1.33629,1.58559,0.0012675,0.0004225,0.0012675,0.0004225,0.0012675,0.0004225,0.0012675,0.0004225
72,1670.46,1.22882,1.4426,1.39384,0.68985,0.68774,0.73045,0.4178,1.41115,1.31715,1.57657,0.00124275,0.00041425,0.00124275,0.00041425,0.00124275,0.00041425,0.00124275,0.00041425
73,1692.95,1.21976,1.40009,1.39592,0.6891,0.69802,0.73213,0.41696,1.42142,1.31996,1.57872,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
74,1715.53,1.23037,1.43865,1.40173,0.66986,0.70845,0.73111,0.4147,1.4174,1.32345,1.5764,0.00119325,0.00039775,0.00119325,0.00039775,0.00119325,0.00039775,0.00119325,0.00039775
75,1737.57,1.21971,1.39311,1.38502,0.68625,0.70104,0.73287,0.41366,1.42161,1.32585,1.5705,0.0011685,0.0003895,0.0011685,0.0003895,0.0011685,0.0003895,0.0011685,0.0003895
76,1760.3,1.22558,1.41847,1.39715,0.66758,0.71285,0.72814,0.40467,1.44855,1.32659,1.59389,0.00114375,0.00038125,0.00114375,0.00038125,0.00114375,0.00038125,0.00114375,0.00038125
77,1783.45,1.2294,1.40099,1.39432,0.69618,0.69059,0.72404,0.4084,1.43353,1.32277,1.59362,0.001119,0.000373,0.001119,0.000373,0.001119,0.000373,0.001119,0.000373
78,1806.54,1.21082,1.40486,1.39852,0.65556,0.73541,0.73491,0.41443,1.43412,1.3183,1.58327,0.00109425,0.00036475,0.00109425,0.00036475,0.00109425,0.00036475,0.00109425,0.00036475
79,1830.13,1.19745,1.38824,1.37533,0.64632,0.71738,0.72927,0.41212,1.42703,1.33414,1.5848,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
80,1852.73,1.21403,1.40712,1.39195,0.64745,0.72288,0.72271,0.40175,1.45541,1.32604,1.5891,0.00104475,0.00034825,0.00104475,0.00034825,0.00104475,0.00034825,0.00104475,0.00034825
81,1875.5,1.22733,1.4209,1.39617,0.68995,0.70611,0.73386,0.41498,1.42421,1.30727,1.57041,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
82,1898.31,1.20931,1.42237,1.38552,0.6583,0.73427,0.73924,0.41218,1.42982,1.30918,1.58273,0.00099525,0.00033175,0.00099525,0.00033175,0.00099525,0.00033175,0.00099525,0.00033175
