epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1821,0.75864,1.28076,1.11993,0.6667,0.71956,0.70968,0.47304,1.23461,2.10202,1.40957,0.000326531,0.000326531,0.000326531
2,37.6866,0.81919,1.48109,1.14304,0.6616,0.68565,0.70802,0.45412,1.37518,2.3205,1.49162,0.00063789,0.00063789,0.00063789
3,54.0498,0.88083,1.65674,1.17546,0.72892,0.60699,0.70033,0.41539,1.50527,2.60811,1.51705,0.00092705,0.00092705,0.00092705
4,70.328,0.91563,1.72468,1.20808,0.56614,0.65062,0.61808,0.36958,1.46626,2.69634,1.59756,0.0009001,0.0009001,0.0009001
5,86.7018,0.96778,1.79623,1.23214,0.58155,0.62298,0.62938,0.40382,1.37865,2.34878,1.44849,0.0008668,0.0008668,0.0008668
6,102.909,0.94029,1.79123,1.22164,0.6536,0.67137,0.68565,0.43747,1.32537,2.37534,1.40528,0.0008335,0.0008335,0.0008335
7,119.303,0.90521,1.68727,1.1747,0.6786,0.66145,0.68777,0.42513,1.42949,2.67413,1.49198,0.0008002,0.0008002,0.0008002
8,135.551,0.90642,1.64438,1.19792,0.67265,0.64867,0.673,0.4072,1.41419,2.67704,1.47664,0.0007669,0.0007669,0.0007669
9,151.858,0.88709,1.59242,1.18536,0.6387,0.74281,0.73479,0.4614,1.30449,2.27138,1.39624,0.0007336,0.0007336,0.0007336
10,168.141,0.85791,1.55179,1.18523,0.7092,0.62725,0.6859,0.44166,1.29047,2.33361,1.45196,0.0007003,0.0007003,0.0007003
11,184.403,0.86589,1.49022,1.14695,0.68926,0.63798,0.69134,0.4188,1.4398,2.42115,1.55641,0.000667,0.000667,0.000667
12,200.677,0.85104,1.4872,1.14296,0.63366,0.68068,0.68437,0.44315,1.39614,2.33071,1.46686,0.0006337,0.0006337,0.0006337
13,217.027,0.85952,1.55051,1.14834,0.6616,0.6514,0.68406,0.45362,1.29771,2.37394,1.39939,0.0006004,0.0006004,0.0006004
14,233.481,0.84107,1.49702,1.13816,0.61414,0.6874,0.68751,0.43353,1.37758,2.47889,1.48249,0.0005671,0.0005671,0.0005671
15,250.282,0.83392,1.48421,1.14619,0.74789,0.64496,0.7034,0.45228,1.27645,2.36887,1.43055,0.0005338,0.0005338,0.0005338
16,266.613,0.79211,1.38738,1.11268,0.7132,0.6277,0.7182,0.46474,1.34525,2.27178,1.39515,0.0005005,0.0005005,0.0005005
